[07/07 18:38:43.989] | CRITICAL | watchdog   | main_reactor | 
top - 18:38:43 up  3:03,  1 user,  load average: 6.29, 5.34, 4.90
Tasks: 229 total,   2 running, 163 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.0 us, 12.1 sy,  0.0 ni, 33.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  4029296 total,  2491616 free,  1025108 used,   512572 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  2571124 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1337 root      20   0 1134188 759644  60064 S 216.7 18.9 405:34.80 python
 2282 root      20   0  706348 255120  86800 R 127.8  6.3  48:05.57 python
12757 root      20   0    7956   3464   3048 R  11.1  0.1   0:00.04 top
    1 root      20   0    6568   5092   3868 S   0.0  0.1   0:33.03 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0.0  0.0   0:00.42 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:31.24 rcu_sched
   11 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.11 migration/0
   13 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 watchdog/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.10 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.28 ksoftirqd/1
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 watchdog/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.12 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:00.55 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.13 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:00.43 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_+
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   41 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   42 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   43 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   44 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   45 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   46 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 crypto
   47 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   48 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   49 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   50 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   51 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   52 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   53 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   58 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   59 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9+
   60 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
  105 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  106 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_therm+
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-wq
  108 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-reset+
  109 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-delet+
  110 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrc+
  119 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  136 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_ma+
  188 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/18-mmc0
  190 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/23-mmc1
  209 root      -2   0       0      0      0 S   0.0  0.0   0:11.83 i915/signa+
  210 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  211 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  217 root       0 -20       0      0      0 I   0.0  0.0   0:01.55 kworker/3:+
  294 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  348 root      20   0       0      0      0 S   0.0  0.0   0:00.44 jbd2/mmcbl+
  349 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  412 root      20   0   21336  10884  10372 S   0.0  0.3   0:36.50 systemd-jo+
  415 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  428 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib-comp-wq
  430 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib_mcast
  431 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ib_nl_sa_wq
  434 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rdma_cm
  442 root      20   0   13284   1504   1352 S   0.0  0.0   0:00.00 lvmetad
  451 root      20   0   14644   4012   2916 S   0.0  0.1   0:01.46 systemd-ud+
  517 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/94-mei+
  760 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/mmcbl+
  763 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  784 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/mmcbl+
  785 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  796 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  813 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/mmcbl+
  816 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  982 root      20   0   13176   6340   5636 S   0.0  0.2   0:00.18 sshd
  988 seco      20   0   13176   3160   2456 S   0.0  0.1   0:00.00 sshd
  990 root      20   0   13176   6216   5508 S   0.0  0.2   0:00.18 sshd
